Description,Supplier,URL,Entity,Expense Type,Transaction Number,Amount,Expense Area,Date,Departmental Family
Facilities Management : 70 Whitehall Refurbishment Project Phrase 2 Consultancy Fees,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Non Residential Fees,3000011426,"54,220.25",ESTATE MANAGEMENT,27/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Peripherals,PCROHD 745,"-929,842.00",Network Services,27/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Peripherals,PCROHD 746,"-708,104.96",Network Services,27/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18054,"465,005.47",Network Services,27/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Handsets,PINMTS 18054,"27,669.00",Network Services,27/07/2010,Cabinet Office
"Halsbury's Vols 1,2 and 11 plus various library title updates",LEXIS NEXIS BUTTERWORTHS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Supplies and Services,3000011432,"62,511.84",PARLIAMENTARY COUNSEL OFFICE,27/07/2010,Cabinet Office
Generations Together volunteering programme,DEPARTMENT FOR CHILDREN SCHOOLS & FAMILIES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Resource Grants to Central Government Bodies,3000011451,"1,500,000.00",ERG - OFFICE FOR CIVIL SOCIETY,28/07/2010,Cabinet Office
2nd instalment Community Alliance Project grant 2010/2011,DEVELOPMENT TRUSTS ASSOCIATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Resource Grants to Private Sector,3000011452,"75,000.00",ERG - OFFICE FOR CIVIL SOCIETY,28/07/2010,Cabinet Office
Facilities Management : 70 Whitehall Refurbishment Project Phrase 2 ,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Assets Under Construction,3000011453,"221,403.97",ESTATE MANAGEMENT,28/07/2010,Cabinet Office
Project management costs web development,Central Office of In,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,e-TRADE Design & Bui,PINDOH 30348,"84,157.00",Governance & Assurance,28/07/2010,Cabinet Office
NRE Final Milestone Payment 3,BT GLOBAL SERVICES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Accommodation and Utilities,3000011449,"116,071.20",INTELLIGENCE SECURITY AND RESILIENCE,28/07/2010,Cabinet Office
Professional services interim expenditure,Parity Resources Ltd,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Agency Staff,PINDOH 30400,"36,080.00",Professional Services,28/07/2010,Cabinet Office
Grant-in-aid payment to the Commission for the Compact,COMMISSION FOR THE COMPACT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Grants-in-Aid to NDPB's,3000011468,"150,000.00",ERG - OFFICE FOR CIVIL SOCIETY,29/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Conferencing Video,PINMTS 18055,"147,379.25",Network Services,29/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Peripherals,PINMTS 18055,"149,374.24",Network Services,29/07/2010,Cabinet Office
CIPB - Capital Investment Programme Strand B,Kingswood Foundation Limited,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Capacity Builders,Grant,1680,"48,702.50",Programmes,29/07/2010,Cabinet Office
Treasury Solicitors Legal Advice,TREASURY SOLICITORS DEPT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Supplies and Services,103007,"102,684.00",CENTRAL BUDGETS,30/07/2010,Cabinet Office
Cost of assessment centre for graduates for the Government Procurement Graduate Scheme 2010 intake,TRIBAL RESOURCING LIMITED,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Government Procurement Graduate Scheme Recruitment - Contracted Out,86298,"32,593.08",ERG -  OGC,30/07/2010,Cabinet Office
Faststream recruitment,PARITY SOLUTIONS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Other Staff Related Costs,3000011497,"87,715.00",ERG - CIVIL SERVICE CAPABILITY GROUP,30/07/2010,Cabinet Office
v project grants,V,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Resource Grants to Private Sector,3000011499,"9,321,000.00",ERG - OFFICE FOR CIVIL SOCIETY,30/07/2010,Cabinet Office
Interim support in the development centralised procurement of Travel,KPMG LLP,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Consultants-Management-Staff Substitution,86249,"32,856.53",ERG - OGC,30/07/2010,Cabinet Office
Civil Service English Regions project - data compilation and analysis work to identify future disposals and co-location opportunities,DRIVERS JONAS DELOITTE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Cabinet Office,Consultants -Property Services - Advisory only,86300,"41,270.25",ERG - OGC,30/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Data Services,PINMTS 18057,"241,099.72",Network Services,30/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Call Charges Std,PINMTS 18058,"149,363.52",Network Services,30/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Call Charges Std,PINMTS 18061,"70,299.41",Network Services,30/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,SAP Rental,PINMTS 18062,"172,622.50",Network Services,30/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Conferencing Video,PINMTS 18064,"130,952.50",Network Services,30/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Peripherals,PINMTS 18064,"45,037.50",Network Services,30/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Conferencing Video,PINMTS 18065,"135,757.50",Network Services,30/07/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,Buying Solutions,Peripherals,PINMTS 18065,"45,508.60",Network Services,30/07/2010,Cabinet Office
News subscription,COI CENTRAL OFFICE OF INFORMATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Supplies and Services,3000010418,"64,996.92",PRIME MINISTER'S OFFICE,01/06/2010,Cabinet Office
Building renovation,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Accommodation and Utilities,3000010419,"29,632.28",PRIME MINISTER'S OFFICE,01/06/2010,Cabinet Office
News subscription,COI CENTRAL OFFICE OF INFORMATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Supplies and Services,3000010439,"32,500.00",PRIME MINISTER'S OFFICE,02/06/2010,Cabinet Office
Grant-in-aid payment to Capacitybuilders,CAPACITY BUILDERS UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Grants-in-Aid to NDPB's,3000010437,"200,000.00",ERG - OFFICE FOR CIVIL SOCIETY,02/06/2010,Cabinet Office
Fujitsu (Flex) Outsourced IT service contract ,FUJITSU SERVICES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Hire of Plant and Machines Memorandum Accounts,3000010445,"53,783.51",IT AND TELECOMS BRANCH,02/06/2010,Cabinet Office
Rent,HM TREASURY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Buying Solutions,MOTO Charges RC,PINDOH 29729,"124,360.82",Estates Management,02/06/2010,Cabinet Office
Rates for Royal Liver Building,LIVERPOOL CITY COUNC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Buying Solutions,General Rates,PINDOH 29766,"170,775.00",Estates Management,02/06/2010,Cabinet Office
Barclay Card lodge charges April 2010,BARCLAYCARD BANK PLC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Supplies and Services,3000010492,"77,740.14",ESTATE MANAGEMENT,07/06/2010,Cabinet Office
Facilities management ,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Accommodation and Utilities,3000010494,"37,808.14",PRIME MINISTERS OFFICE,07/06/2010,Cabinet Office
Support and Maintenance of frame Marker Drafting of software,MEKON LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,IT Costs,3000010500,"65,913.00",PARLIAMENTARY COUNSEL OFFICE,07/06/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Buying Solutions,Peripherals,PINMTS 17590,"162,764.37",Network Services,07/06/2010,Cabinet Office
Ecovert Facilities Management KPI Performance Mechanism Charge (Contract Profits),ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Accommodation and Utilities,3000010521,"57,641.51",ESTATE MANAGEMENT,08/06/2010,Cabinet Office
Ecovert Facilities Management KPI Performance Mechanism Charge (Contract Variable),ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Accommodation and Utilities,3000010521,"28,441.33",ESTATE MANAGEMENT,08/06/2010,Cabinet Office
1st Instalment compact voice project grant 10/2011 ,NCVO,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Resource Grants to Private Sector,3000010527,"76,907.00",ERG - OFFICE FOR CIVIL SOCIETY,08/06/2010,Cabinet Office
Expert advice for OGC's Centre for e-Auctions,PA CONSULTING SERVICES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Consultants - Mgt - Non Advisory,84903,"82,269.70",ERG -  OGC,09/06/2010,Cabinet Office
Legal negotiations for public sector network procurement,FIELD FISHER WATERHO,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Buying Solutions,Legal Fees,PINDOH 29532,"33,550.15",PSN Services,09/06/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Buying Solutions,Call Charges Std,PINMTS 17614,"75,535.13",Network Services,09/06/2010,Cabinet Office
Final payment for services to develop the social enterprise identifier,COI CENTRAL OFFICE OF INFORMATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Consultancy,3000010540,"48,000.00",ERG - OFFICE FOR CIVIL SOCIETY,09/06/2010,Cabinet Office
2010-11 1st instalment Access to Volunteering grant payment,CHARITIES AID FOUNDATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Resource Grants to Private Sector,3000010565,"382,409.00",ERG - OFFICE FOR CIVIL SOCIETY,10/06/2010,Cabinet Office
IT Data Connection between buldings ,VERIZON UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,IT Costs,3000010572,"37,800.00",IT AND TELECOMS BRANCH,10/06/2010,Cabinet Office
 Consultancy advice to the G-Cloud programme. ,DELOITTE MCS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Consultancy,100849,"60,545.00",ERG - GOVERNMENT CIO,11/06/2010,Cabinet Office
Halsbury Statutes 4ED Loose Leaf Subscription.Books &Booklets,LEXIS NEXIS BUTTERWORTHS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Supplies and Services,3000010592,"31,251.74",PARLIAMENTARY COUNSEL OFFICE,11/06/2010,Cabinet Office
Contract Fee for Pension work  April 2010,CAPITA BUSINESS SERVICES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Other Staff Related Costs,3000010585,"387,450.73",SCHEME MANAGEMENT EXECUTIVE,11/06/2010,Cabinet Office
Consultancy cost for My Civil Service  Pension programme March 2010,DWP NORCROSS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Consultancy,3000010588,"140,127.26",SCHEME MANAGEMENT EXECUTIVE,11/06/2010,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Buying Solutions,Peripherals,PINMTS 17646,"25,107.44",Network Services,11/06/2010,Cabinet Office
Cabinet Office Buidling operating leases rent,DEXTER BROWN LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Land and Buildings,3000010617,"119,875.00",ESTATE MANAGEMENT,14/06/2010,Cabinet Office
Ecovert Facilities Management (Life cycle fund 2010 -2011),ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Accommodation and Utilities,3000010620,"1,000,000.00",ESTATE MANAGEMENT,14/06/2010,Cabinet Office
Emergency Planning college Prof.Fees Advice 15.3.2010 to 22.4.2010,EVERSHEDS LLP,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Consultancy,3000010622,"43,864.16",EMERGENCY PLANNING COLLEGE,14/06/2010,Cabinet Office
Publice Duty Cost Allowance for Ex Prime Minsters,HOUSE OF COMMONS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Supplies and Services,3000010627,"95,161.00",FINANCIAL MANAGEMENT,14/06/2010,Cabinet Office
Difficult conversation workshop:Consultancy Fees &Expenses,BERKSHIRE CONSULTANCY LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Other Staff Related Costs,3000010673,"26,302.68",INTELLIGENCE SECURITY AND RESILIENCE,16/06/2010,Cabinet Office
Grant-in-aid payment to Capacitybuilders,CAPACITY BUILDERS UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,Cabinet Office,Grants-in-Aid to NDPB's,3000010674,"200,000.00",ERG - OFFICE FOR CIVIL SOCIETY,16/06/2010,Cabinet Office
